clock_period,dsp_coeff,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers,source_lines,num_for_loops,num_while_loops,num_total_loops,max_loop_depth,num_if_statements,num_array_accesses,num_add_ops,num_sub_ops,num_mul_ops,num_div_ops,num_arithmetic_ops,num_assignments,num_function_calls,num_var_decls,yosys_selected_module,yosys_num_wires,yosys_num_wire_bits,yosys_num_pub_wires,yosys_num_pub_wire_bits,yosys_num_memories,yosys_num_memory_bits,yosys_num_processes,yosys_num_cells,yosys_total_modules,yosys_total_wires,yosys_total_wire_bits,yosys_total_pub_wires,yosys_total_pub_wire_bits,yosys_total_memories,yosys_total_memory_bits,yosys_total_processes,yosys_total_cells,openroad_clock_constraint,config_parse_status,openroad_run_status,openroad_parse_status,openroad_tns,openroad_wns,openroad_worst_slack,openroad_clock_period_min,openroad_fmax,openroad_critical_path_delay,openroad_critical_path_slack,openroad_setup_violation_count,openroad_hold_violation_count,openroad_max_slew_violation_count,openroad_max_cap_violation_count,openroad_total_power,openroad_synth_chip_area,benchmark_2mm,benchmark_3mm,benchmark_atax,benchmark_bicg,benchmark_deriche,benchmark_floyd-warshall,benchmark_gemm,benchmark_gemver,benchmark_gesummv,benchmark_jacobi-1d,benchmark_jacobi-2d,benchmark_mvt,benchmark_nussinov,benchmark_seidel-2d,benchmark_symm,benchmark_syr2k,benchmark_syrk,benchmark_trmm,dataset_size_MEDIUM,dataset_size_SMALL,mem_policy_ALL_BRAM,mem_policy_LSS,opt_level_O0,opt_level_O2,opt_level_O3
10,1.75,134,0.0170666606666802,100.17095837552512,151,412,260,1743,8400,446,8846,57,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
10,1.75,195,0.0170666606666802,100.17095837552512,223,584,478,2800,9389,683,10072,100,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
15,1.0,44,0.0494726426666236,66.887272676003,44,296,11,1106,7232,243,7475,35,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
15,1.0,87,0.0494726426666236,66.887272676003,85,412,128,1487,8132,377,8509,49,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
15,1.0,122,0.0494726426666236,66.887272676003,120,584,164,2415,9121,517,9638,87,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
15,1.75,44,0.0494726426666236,66.887272676003,44,296,11,1106,7232,243,7475,35,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
15,1.75,87,0.0494726426666236,66.887272676003,85,412,128,1487,8132,377,8509,49,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
15,1.75,122,0.0494726426666236,66.887272676003,120,584,164,2415,9121,517,9638,87,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
15,1.0,45,0.0494726426666236,66.887272676003,52,296,0,1234,7500,276,7776,39,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
15,1.0,84,0.0494726426666236,66.887272676003,97,412,6,1743,8400,445,8845,57,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
15,1.0,125,0.0494726426666236,66.887272676003,149,582,6,2800,9321,642,9963,100,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
15,1.75,45,0.0494726426666236,66.887272676003,52,296,0,1234,7500,276,7776,39,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
15,1.75,84,0.0494726426666236,66.887272676003,97,412,6,1743,8400,445,8845,57,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
15,1.75,125,0.0494726426666236,66.887272676003,149,582,6,2800,9321,642,9963,100,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
10,1.0,56,0.0363999969999984,100.3653297702541,56,320,29,1165,7185,210,7395,39,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,10.0,ok,ok,ok,0.0,0.0,5.29,4.71,212.14,5.6013,5.2862,0.0,0.0,0.0,0.0,0.00694,64237.404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
10,1.0,116,0.0363999969999984,100.3653297702541,114,458,228,1730,8199,345,8544,59,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
10,1.0,162,0.0363999969999984,100.3653297702541,160,637,494,2688,9093,583,9676,99,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
10,1.75,64,0.0170666606666802,100.17095837552512,64,320,29,1165,7185,210,7395,39,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
10,1.75,136,0.0170666606666802,100.17095837552512,134,458,228,1730,8199,345,8544,59,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
10,1.75,192,0.0170666606666802,100.17095837552512,190,637,494,2688,9093,583,9676,99,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
10,1.0,56,0.0363999969999984,100.3653297702541,64,321,32,1229,7453,280,7733,41,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
10,1.0,112,0.0363999969999984,100.3653297702541,127,458,185,1858,8467,479,8946,63,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
10,1.0,163,0.0363999969999984,100.3653297702541,189,638,343,2881,9395,655,10050,106,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
10,1.75,64,0.0170666606666802,100.17095837552512,72,321,32,1229,7453,280,7733,41,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
10,1.75,132,0.0170666606666802,100.17095837552512,147,458,185,1858,8467,479,8946,63,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
10,1.75,193,0.0170666606666802,100.17095837552512,219,638,343,2881,9395,655,10050,106,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
15,1.0,44,0.0494726426666236,66.887272676003,44,321,8,1101,7185,243,7428,37,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
15,1.0,87,0.0494726426666236,66.887272676003,85,458,42,1602,8199,377,8576,55,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
15,1.0,122,0.0494726426666236,66.887272676003,120,638,63,2496,9127,517,9644,93,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
15,1.75,44,0.0494726426666236,66.887272676003,44,321,8,1101,7185,243,7428,37,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
15,1.75,87,0.0494726426666236,66.887272676003,85,458,42,1602,8199,377,8576,55,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
15,1.75,122,0.0494726426666236,66.887272676003,120,638,63,2496,9127,517,9644,93,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
15,1.0,45,0.0494726426666236,66.887272676003,52,321,0,1229,7453,276,7729,41,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
15,1.0,84,0.0494726426666236,66.887272676003,97,457,0,1858,8433,445,8878,63,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
15,1.0,125,0.0494726426666236,66.887272676003,149,635,0,2881,9293,642,9935,106,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
15,1.75,45,0.0494726426666236,66.887272676003,52,321,0,1229,7453,276,7729,41,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
15,1.75,84,0.0494726426666236,66.887272676003,97,457,0,1858,8433,445,8878,63,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
15,1.75,125,0.0494726426666236,66.887272676003,149,635,0,2881,9293,642,9935,106,102,16,0,16,2,1,26,6,0,14,4,24,30,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
10,1.0,67,0.0363999969999984,100.3653297702541,68,396,52,1567,8261,171,8432,55,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
10,1.0,145,0.0363999969999984,100.3653297702541,143,591,722,2258,9770,477,10247,83,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
10,1.0,168,0.0363999969999984,100.3653297702541,166,848,1208,3431,11141,573,11714,130,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
10,1.75,73,0.0170666606666802,100.17095837552512,74,396,52,1567,8261,171,8432,55,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
10,1.75,163,0.0170666606666802,100.17095837552512,161,591,722,2258,9770,477,10247,83,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
10,1.75,186,0.0170666606666802,100.17095837552512,184,848,1208,3431,11141,573,11714,130,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
10,1.0,67,0.0363999969999984,100.3653297702541,80,396,87,1663,8395,240,8635,58,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
10,1.0,139,0.0363999969999984,100.3653297702541,164,591,694,2450,10038,515,10553,89,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
10,1.0,165,0.0363999969999984,100.3653297702541,199,851,1168,3818,11511,769,12280,145,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
10,1.75,73,0.0170666606666802,100.17095837552512,86,396,87,1663,8395,240,8635,58,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
10,1.75,157,0.0170666606666802,100.17095837552512,182,591,694,2450,10038,515,10553,89,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
10,1.75,183,0.0170666606666802,100.17095837552512,217,851,1168,3818,11511,769,12280,145,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
15,1.0,52,0.0494726426666236,66.887272676003,53,397,31,1471,8261,207,8468,52,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
15,1.0,109,0.0494726426666236,66.887272676003,107,591,352,2066,9770,412,10182,77,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
15,1.0,129,0.0494726426666236,66.887272676003,127,851,420,2983,11243,529,11772,117,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
15,1.75,52,0.0494726426666236,66.887272676003,53,397,31,1471,8261,207,8468,52,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
15,1.75,109,0.0494726426666236,66.887272676003,107,591,352,2066,9770,412,10182,77,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
15,1.75,129,0.0494726426666236,66.887272676003,127,851,420,2983,11243,529,11772,117,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
15,1.0,55,0.0494726426666236,66.887272676003,65,397,0,1663,8529,306,8835,58,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
15,1.0,106,0.0494726426666236,66.887272676003,125,591,10,2450,10038,496,10534,89,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
15,1.0,132,0.0494726426666236,66.887272676003,160,848,10,3754,11409,750,12159,144,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
15,1.75,55,0.0494726426666236,66.887272676003,65,397,0,1663,8529,306,8835,58,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
15,1.75,106,0.0494726426666236,66.887272676003,125,591,10,2450,10038,496,10534,89,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
15,1.75,132,0.0494726426666236,66.887272676003,160,848,10,3754,11409,750,12159,144,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
10,1.0,67,0.0363999969999984,100.3653297702541,68,428,81,1453,8253,171,8424,52,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,10.0,ok,ok,ok,0.0,0.0,5.35,4.65,215.23,5.3766,5.3537,0.0,0.0,0.0,0.0,0.0111,75947.788,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
10,1.0,145,0.0363999969999984,100.3653297702541,143,645,570,2204,9644,477,10121,82,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
10,1.0,168,0.0363999969999984,100.3653297702541,166,919,1065,3378,11028,573,11601,130,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
10,1.75,73,0.0170666606666802,100.17095837552512,74,428,81,1453,8253,171,8424,52,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
10,1.75,163,0.0170666606666802,100.17095837552512,161,645,570,2204,9644,477,10121,82,109,19,0,19,2,1,34,7,0,14,4,25,34,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
