benchmark,dataset_size,clock_period,mem_policy,dsp_coeff,opt_level,experimental_setup,design_name,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers,dsps,log_file
2mm,SMALL,10,ALL_BRAM,1.75,O2,none,kernel_2mm,136,0.017066660666680278,100.17095837552512,134,458,228,1730,8199,345,8544,59,0,2mm_SMALL_clk10_memALL_BRAM_dsp1.75_optO2_log.txt
2mm,SMALL,10,ALL_BRAM,1.75,O3,none,kernel_2mm,192,0.017066660666680278,100.17095837552512,190,637,494,2688,9093,583,9676,99,0,2mm_SMALL_clk10_memALL_BRAM_dsp1.75_optO3_log.txt
2mm,SMALL,10,LSS,1.0,O0,none,kernel_2mm,56,0.03639999699999841,100.3653297702541,64,321,32,1229,7453,280,7733,41,0,2mm_SMALL_clk10_memLSS_dsp1.0_optO0_log.txt
2mm,SMALL,10,LSS,1.0,O2,none,kernel_2mm,112,0.03639999699999841,100.3653297702541,127,458,185,1858,8467,479,8946,63,0,2mm_SMALL_clk10_memLSS_dsp1.0_optO2_log.txt
2mm,SMALL,10,LSS,1.0,O3,none,kernel_2mm,163,0.03639999699999841,100.3653297702541,189,638,343,2881,9395,655,10050,106,0,2mm_SMALL_clk10_memLSS_dsp1.0_optO3_log.txt
2mm,SMALL,10,LSS,1.75,O0,none,kernel_2mm,64,0.017066660666680278,100.17095837552512,72,321,32,1229,7453,280,7733,41,0,2mm_SMALL_clk10_memLSS_dsp1.75_optO0_log.txt
2mm,SMALL,10,LSS,1.75,O2,none,kernel_2mm,132,0.017066660666680278,100.17095837552512,147,458,185,1858,8467,479,8946,63,0,2mm_SMALL_clk10_memLSS_dsp1.75_optO2_log.txt
2mm,SMALL,10,LSS,1.75,O3,none,kernel_2mm,193,0.017066660666680278,100.17095837552512,219,638,343,2881,9395,655,10050,106,0,2mm_SMALL_clk10_memLSS_dsp1.75_optO3_log.txt
2mm,SMALL,15,ALL_BRAM,1.0,O0,none,kernel_2mm,44,0.049472642666623656,66.887272676003,44,321,8,1101,7185,243,7428,37,0,2mm_SMALL_clk15_memALL_BRAM_dsp1.0_optO0_log.txt
2mm,SMALL,15,ALL_BRAM,1.0,O2,none,kernel_2mm,87,0.049472642666623656,66.887272676003,85,458,42,1602,8199,377,8576,55,0,2mm_SMALL_clk15_memALL_BRAM_dsp1.0_optO2_log.txt
2mm,SMALL,15,ALL_BRAM,1.0,O3,none,kernel_2mm,122,0.049472642666623656,66.887272676003,120,638,63,2496,9127,517,9644,93,0,2mm_SMALL_clk15_memALL_BRAM_dsp1.0_optO3_log.txt
2mm,SMALL,15,ALL_BRAM,1.75,O0,none,kernel_2mm,44,0.049472642666623656,66.887272676003,44,321,8,1101,7185,243,7428,37,0,2mm_SMALL_clk15_memALL_BRAM_dsp1.75_optO0_log.txt
2mm,SMALL,15,ALL_BRAM,1.75,O2,none,kernel_2mm,87,0.049472642666623656,66.887272676003,85,458,42,1602,8199,377,8576,55,0,2mm_SMALL_clk15_memALL_BRAM_dsp1.75_optO2_log.txt
2mm,SMALL,15,ALL_BRAM,1.75,O3,none,kernel_2mm,122,0.049472642666623656,66.887272676003,120,638,63,2496,9127,517,9644,93,0,2mm_SMALL_clk15_memALL_BRAM_dsp1.75_optO3_log.txt
2mm,SMALL,15,LSS,1.0,O0,none,kernel_2mm,45,0.049472642666623656,66.887272676003,52,321,0,1229,7453,276,7729,41,0,2mm_SMALL_clk15_memLSS_dsp1.0_optO0_log.txt
2mm,SMALL,15,LSS,1.0,O2,none,kernel_2mm,84,0.049472642666623656,66.887272676003,97,457,0,1858,8433,445,8878,63,0,2mm_SMALL_clk15_memLSS_dsp1.0_optO2_log.txt
2mm,SMALL,15,LSS,1.0,O3,none,kernel_2mm,125,0.049472642666623656,66.887272676003,149,635,0,2881,9293,642,9935,106,0,2mm_SMALL_clk15_memLSS_dsp1.0_optO3_log.txt
2mm,SMALL,15,LSS,1.75,O0,none,kernel_2mm,45,0.049472642666623656,66.887272676003,52,321,0,1229,7453,276,7729,41,0,2mm_SMALL_clk15_memLSS_dsp1.75_optO0_log.txt
2mm,SMALL,15,LSS,1.75,O2,none,kernel_2mm,84,0.049472642666623656,66.887272676003,97,457,0,1858,8433,445,8878,63,0,2mm_SMALL_clk15_memLSS_dsp1.75_optO2_log.txt
2mm,SMALL,15,LSS,1.75,O3,none,kernel_2mm,125,0.049472642666623656,66.887272676003,149,635,0,2881,9293,642,9935,106,0,2mm_SMALL_clk15_memLSS_dsp1.75_optO3_log.txt
3mm,MEDIUM,10,ALL_BRAM,1.0,O0,none,kernel_3mm,67,0.03639999699999841,100.3653297702541,68,396,52,1567,8261,171,8432,55,0,3mm_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO0_log.txt
3mm,MEDIUM,10,ALL_BRAM,1.0,O2,none,kernel_3mm,145,0.03639999699999841,100.3653297702541,143,591,722,2258,9770,477,10247,83,0,3mm_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO2_log.txt
3mm,MEDIUM,10,ALL_BRAM,1.0,O3,none,kernel_3mm,168,0.03639999699999841,100.3653297702541,166,848,1208,3431,11141,573,11714,130,0,3mm_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO3_log.txt
3mm,MEDIUM,10,ALL_BRAM,1.75,O0,none,kernel_3mm,73,0.017066660666680278,100.17095837552512,74,396,52,1567,8261,171,8432,55,0,3mm_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO0_log.txt
3mm,MEDIUM,10,ALL_BRAM,1.75,O2,none,kernel_3mm,163,0.017066660666680278,100.17095837552512,161,591,722,2258,9770,477,10247,83,0,3mm_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO2_log.txt
3mm,MEDIUM,10,ALL_BRAM,1.75,O3,none,kernel_3mm,186,0.017066660666680278,100.17095837552512,184,848,1208,3431,11141,573,11714,130,0,3mm_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO3_log.txt
3mm,MEDIUM,10,LSS,1.0,O0,none,kernel_3mm,67,0.03639999699999841,100.3653297702541,80,396,87,1663,8395,240,8635,58,0,3mm_MEDIUM_clk10_memLSS_dsp1.0_optO0_log.txt
3mm,MEDIUM,10,LSS,1.0,O2,none,kernel_3mm,139,0.03639999699999841,100.3653297702541,164,591,694,2450,10038,515,10553,89,0,3mm_MEDIUM_clk10_memLSS_dsp1.0_optO2_log.txt
3mm,MEDIUM,10,LSS,1.0,O3,none,kernel_3mm,165,0.03639999699999841,100.3653297702541,199,851,1168,3818,11511,769,12280,145,0,3mm_MEDIUM_clk10_memLSS_dsp1.0_optO3_log.txt
3mm,MEDIUM,10,LSS,1.75,O0,none,kernel_3mm,73,0.017066660666680278,100.17095837552512,86,396,87,1663,8395,240,8635,58,0,3mm_MEDIUM_clk10_memLSS_dsp1.75_optO0_log.txt
3mm,MEDIUM,10,LSS,1.75,O2,none,kernel_3mm,157,0.017066660666680278,100.17095837552512,182,591,694,2450,10038,515,10553,89,0,3mm_MEDIUM_clk10_memLSS_dsp1.75_optO2_log.txt
3mm,MEDIUM,10,LSS,1.75,O3,none,kernel_3mm,183,0.017066660666680278,100.17095837552512,217,851,1168,3818,11511,769,12280,145,0,3mm_MEDIUM_clk10_memLSS_dsp1.75_optO3_log.txt
3mm,MEDIUM,15,ALL_BRAM,1.0,O0,none,kernel_3mm,52,0.049472642666623656,66.887272676003,53,397,31,1471,8261,207,8468,52,0,3mm_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO0_log.txt
3mm,MEDIUM,15,ALL_BRAM,1.0,O2,none,kernel_3mm,109,0.049472642666623656,66.887272676003,107,591,352,2066,9770,412,10182,77,0,3mm_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO2_log.txt
3mm,MEDIUM,15,ALL_BRAM,1.0,O3,none,kernel_3mm,129,0.049472642666623656,66.887272676003,127,851,420,2983,11243,529,11772,117,0,3mm_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO3_log.txt
3mm,MEDIUM,15,ALL_BRAM,1.75,O0,none,kernel_3mm,52,0.049472642666623656,66.887272676003,53,397,31,1471,8261,207,8468,52,0,3mm_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO0_log.txt
3mm,MEDIUM,15,ALL_BRAM,1.75,O2,none,kernel_3mm,109,0.049472642666623656,66.887272676003,107,591,352,2066,9770,412,10182,77,0,3mm_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO2_log.txt
3mm,MEDIUM,15,ALL_BRAM,1.75,O3,none,kernel_3mm,129,0.049472642666623656,66.887272676003,127,851,420,2983,11243,529,11772,117,0,3mm_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO3_log.txt
3mm,MEDIUM,15,LSS,1.0,O0,none,kernel_3mm,55,0.049472642666623656,66.887272676003,65,397,0,1663,8529,306,8835,58,0,3mm_MEDIUM_clk15_memLSS_dsp1.0_optO0_log.txt
3mm,MEDIUM,15,LSS,1.0,O2,none,kernel_3mm,106,0.049472642666623656,66.887272676003,125,591,10,2450,10038,496,10534,89,0,3mm_MEDIUM_clk15_memLSS_dsp1.0_optO2_log.txt
3mm,MEDIUM,15,LSS,1.0,O3,none,kernel_3mm,132,0.049472642666623656,66.887272676003,160,848,10,3754,11409,750,12159,144,0,3mm_MEDIUM_clk15_memLSS_dsp1.0_optO3_log.txt
3mm,MEDIUM,15,LSS,1.75,O0,none,kernel_3mm,55,0.049472642666623656,66.887272676003,65,397,0,1663,8529,306,8835,58,0,3mm_MEDIUM_clk15_memLSS_dsp1.75_optO0_log.txt
3mm,MEDIUM,15,LSS,1.75,O2,none,kernel_3mm,106,0.049472642666623656,66.887272676003,125,591,10,2450,10038,496,10534,89,0,3mm_MEDIUM_clk15_memLSS_dsp1.75_optO2_log.txt
3mm,MEDIUM,15,LSS,1.75,O3,none,kernel_3mm,132,0.049472642666623656,66.887272676003,160,848,10,3754,11409,750,12159,144,0,3mm_MEDIUM_clk15_memLSS_dsp1.75_optO3_log.txt
3mm,SMALL,10,ALL_BRAM,1.0,O0,none,kernel_3mm,67,0.03639999699999841,100.3653297702541,68,428,81,1453,8253,171,8424,52,0,3mm_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_log.txt
3mm,SMALL,10,ALL_BRAM,1.0,O2,none,kernel_3mm,145,0.03639999699999841,100.3653297702541,143,645,570,2204,9644,477,10121,82,0,3mm_SMALL_clk10_memALL_BRAM_dsp1.0_optO2_log.txt
3mm,SMALL,10,ALL_BRAM,1.0,O3,none,kernel_3mm,168,0.03639999699999841,100.3653297702541,166,919,1065,3378,11028,573,11601,130,0,3mm_SMALL_clk10_memALL_BRAM_dsp1.0_optO3_log.txt
3mm,SMALL,10,ALL_BRAM,1.75,O0,none,kernel_3mm,73,0.017066660666680278,100.17095837552512,74,428,81,1453,8253,171,8424,52,0,3mm_SMALL_clk10_memALL_BRAM_dsp1.75_optO0_log.txt
3mm,SMALL,10,ALL_BRAM,1.75,O2,none,kernel_3mm,163,0.017066660666680278,100.17095837552512,161,645,570,2204,9644,477,10121,82,0,3mm_SMALL_clk10_memALL_BRAM_dsp1.75_optO2_log.txt
3mm,SMALL,10,ALL_BRAM,1.75,O3,none,kernel_3mm,186,0.017066660666680278,100.17095837552512,184,919,1065,3378,11028,573,11601,130,0,3mm_SMALL_clk10_memALL_BRAM_dsp1.75_optO3_log.txt
3mm,SMALL,10,LSS,1.0,O0,none,kernel_3mm,67,0.03639999699999841,100.3653297702541,80,428,129,1549,8387,240,8627,55,0,3mm_SMALL_clk10_memLSS_dsp1.0_optO0_log.txt
3mm,SMALL,10,LSS,1.0,O2,none,kernel_3mm,139,0.03639999699999841,100.3653297702541,164,645,615,2396,9912,515,10427,88,0,3mm_SMALL_clk10_memLSS_dsp1.0_optO2_log.txt
3mm,SMALL,10,LSS,1.0,O3,none,kernel_3mm,165,0.03639999699999841,100.3653297702541,199,922,1178,3765,11398,769,12167,145,0,3mm_SMALL_clk10_memLSS_dsp1.0_optO3_log.txt
3mm,SMALL,10,LSS,1.75,O0,none,kernel_3mm,73,0.017066660666680278,100.17095837552512,86,428,129,1549,8387,240,8627,55,0,3mm_SMALL_clk10_memLSS_dsp1.75_optO0_log.txt
3mm,SMALL,10,LSS,1.75,O2,none,kernel_3mm,157,0.017066660666680278,100.17095837552512,182,645,615,2396,9912,515,10427,88,0,3mm_SMALL_clk10_memLSS_dsp1.75_optO2_log.txt
3mm,SMALL,10,LSS,1.75,O3,none,kernel_3mm,183,0.017066660666680278,100.17095837552512,217,922,1178,3765,11398,769,12167,145,0,3mm_SMALL_clk10_memLSS_dsp1.75_optO3_log.txt
3mm,SMALL,15,ALL_BRAM,1.0,O0,none,kernel_3mm,52,0.049472642666623656,66.887272676003,53,429,58,1357,8253,207,8460,49,0,3mm_SMALL_clk15_memALL_BRAM_dsp1.0_optO0_log.txt
3mm,SMALL,15,ALL_BRAM,1.0,O2,none,kernel_3mm,109,0.049472642666623656,66.887272676003,107,645,299,2012,9644,412,10056,76,0,3mm_SMALL_clk15_memALL_BRAM_dsp1.0_optO2_log.txt
3mm,SMALL,15,ALL_BRAM,1.0,O3,none,kernel_3mm,129,0.049472642666623656,66.887272676003,127,922,393,2930,11130,529,11659,117,0,3mm_SMALL_clk15_memALL_BRAM_dsp1.0_optO3_log.txt
3mm,SMALL,15,ALL_BRAM,1.75,O0,none,kernel_3mm,52,0.049472642666623656,66.887272676003,53,429,58,1357,8253,207,8460,49,0,3mm_SMALL_clk15_memALL_BRAM_dsp1.75_optO0_log.txt
3mm,SMALL,15,ALL_BRAM,1.75,O2,none,kernel_3mm,109,0.049472642666623656,66.887272676003,107,645,299,2012,9644,412,10056,76,0,3mm_SMALL_clk15_memALL_BRAM_dsp1.75_optO2_log.txt
3mm,SMALL,15,ALL_BRAM,1.75,O3,none,kernel_3mm,129,0.049472642666623656,66.887272676003,127,922,393,2930,11130,529,11659,117,0,3mm_SMALL_clk15_memALL_BRAM_dsp1.75_optO3_log.txt
3mm,SMALL,15,LSS,1.0,O0,none,kernel_3mm,55,0.049472642666623656,66.887272676003,65,429,2,1549,8521,306,8827,55,0,3mm_SMALL_clk15_memLSS_dsp1.0_optO0_log.txt
3mm,SMALL,15,LSS,1.0,O2,none,kernel_3mm,106,0.049472642666623656,66.887272676003,125,645,12,2396,9912,496,10408,88,0,3mm_SMALL_clk15_memLSS_dsp1.0_optO2_log.txt
3mm,SMALL,15,LSS,1.0,O3,none,kernel_3mm,132,0.049472642666623656,66.887272676003,160,919,12,3701,11296,750,12046,144,0,3mm_SMALL_clk15_memLSS_dsp1.0_optO3_log.txt
3mm,SMALL,15,LSS,1.75,O0,none,kernel_3mm,55,0.049472642666623656,66.887272676003,65,429,2,1549,8521,306,8827,55,0,3mm_SMALL_clk15_memLSS_dsp1.75_optO0_log.txt
3mm,SMALL,15,LSS,1.75,O2,none,kernel_3mm,106,0.049472642666623656,66.887272676003,125,645,12,2396,9912,496,10408,88,0,3mm_SMALL_clk15_memLSS_dsp1.75_optO2_log.txt
3mm,SMALL,15,LSS,1.75,O3,none,kernel_3mm,132,0.049472642666623656,66.887272676003,160,919,12,3701,11296,750,12046,144,0,3mm_SMALL_clk15_memLSS_dsp1.75_optO3_log.txt
atax,MEDIUM,10,ALL_BRAM,1.0,O0,none,kernel_atax,39,0.03639999699999841,100.3653297702541,38,174,6,774,5655,274,5929,27,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO0_log.txt
atax,MEDIUM,10,ALL_BRAM,1.0,O2,none,kernel_atax,97,0.03639999699999841,100.3653297702541,95,321,74,1482,6471,513,6984,53,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO2_log.txt
atax,MEDIUM,10,ALL_BRAM,1.0,O3,none,kernel_atax,107,0.03639999699999841,100.3653297702541,105,385,101,1837,6917,526,7443,68,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO3_log.txt
atax,MEDIUM,10,ALL_BRAM,1.75,O0,none,kernel_atax,43,0.017066660666680278,100.17095837552512,42,174,6,774,5655,274,5929,27,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO0_log.txt
atax,MEDIUM,10,ALL_BRAM,1.75,O2,none,kernel_atax,109,0.017066660666680278,100.17095837552512,107,321,74,1482,6471,513,6984,53,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO2_log.txt
atax,MEDIUM,10,ALL_BRAM,1.75,O3,none,kernel_atax,119,0.017066660666680278,100.17095837552512,117,385,101,1837,6917,526,7443,68,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO3_log.txt
atax,MEDIUM,10,LSS,1.0,O0,none,kernel_atax,40,0.03639999699999841,100.3653297702541,46,174,2,839,5923,239,6162,30,0,atax_MEDIUM_clk10_memLSS_dsp1.0_optO0_log.txt
atax,MEDIUM,10,LSS,1.0,O2,none,kernel_atax,96,0.03639999699999841,100.3653297702541,116,322,64,1675,6773,515,7288,60,0,atax_MEDIUM_clk10_memLSS_dsp1.0_optO2_log.txt
atax,MEDIUM,10,LSS,1.0,O3,none,kernel_atax,108,0.03639999699999841,100.3653297702541,133,386,78,2159,7219,645,7864,80,0,atax_MEDIUM_clk10_memLSS_dsp1.0_optO3_log.txt
atax,MEDIUM,10,LSS,1.75,O0,none,kernel_atax,44,0.017066660666680278,100.17095837552512,50,174,2,839,5923,239,6162,30,0,atax_MEDIUM_clk10_memLSS_dsp1.75_optO0_log.txt
atax,MEDIUM,10,LSS,1.75,O2,none,kernel_atax,108,0.017066660666680278,100.17095837552512,128,322,64,1675,6773,515,7288,60,0,atax_MEDIUM_clk10_memLSS_dsp1.75_optO2_log.txt
atax,MEDIUM,10,LSS,1.75,O3,none,kernel_atax,120,0.017066660666680278,100.17095837552512,145,386,78,2159,7219,645,7864,80,0,atax_MEDIUM_clk10_memLSS_dsp1.75_optO3_log.txt
atax,MEDIUM,15,ALL_BRAM,1.0,O0,none,kernel_atax,31,0.0494726426666805,66.88727267600325,30,174,0,710,5655,206,5861,25,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO0_log.txt
atax,MEDIUM,15,ALL_BRAM,1.0,O2,none,kernel_atax,75,0.049472642666623656,66.887272676003,73,324,17,1354,6573,443,7016,49,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO2_log.txt
atax,MEDIUM,15,ALL_BRAM,1.0,O3,none,kernel_atax,85,0.049472642666623656,66.887272676003,83,388,19,1709,7019,447,7466,64,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO3_log.txt
atax,MEDIUM,15,ALL_BRAM,1.75,O0,none,kernel_atax,31,0.0494726426666805,66.88727267600325,30,174,0,710,5655,206,5861,25,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO0_log.txt
atax,MEDIUM,15,ALL_BRAM,1.75,O2,none,kernel_atax,75,0.049472642666623656,66.887272676003,73,324,17,1354,6573,443,7016,49,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO2_log.txt
atax,MEDIUM,15,ALL_BRAM,1.75,O3,none,kernel_atax,85,0.049472642666623656,66.887272676003,83,388,19,1709,7019,447,7466,64,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO3_log.txt
atax,MEDIUM,15,LSS,1.0,O0,none,kernel_atax,34,0.0494726426666805,66.88727267600325,40,174,0,839,5923,239,6162,30,0,atax_MEDIUM_clk15_memLSS_dsp1.0_optO0_log.txt
atax,MEDIUM,15,LSS,1.0,O2,none,kernel_atax,76,0.049472642666623656,66.887272676003,94,321,0,1675,6739,468,7207,60,0,atax_MEDIUM_clk15_memLSS_dsp1.0_optO2_log.txt
atax,MEDIUM,15,LSS,1.0,O3,none,kernel_atax,88,0.049472642666623656,66.887272676003,111,385,0,2159,7185,587,7772,80,0,atax_MEDIUM_clk15_memLSS_dsp1.0_optO3_log.txt
atax,MEDIUM,15,LSS,1.75,O0,none,kernel_atax,34,0.0494726426666805,66.88727267600325,40,174,0,839,5923,239,6162,30,0,atax_MEDIUM_clk15_memLSS_dsp1.75_optO0_log.txt
atax,MEDIUM,15,LSS,1.75,O2,none,kernel_atax,76,0.049472642666623656,66.887272676003,94,321,0,1675,6739,468,7207,60,0,atax_MEDIUM_clk15_memLSS_dsp1.75_optO2_log.txt
atax,MEDIUM,15,LSS,1.75,O3,none,kernel_atax,88,0.049472642666623656,66.887272676003,111,385,0,2159,7185,587,7772,80,0,atax_MEDIUM_clk15_memLSS_dsp1.75_optO3_log.txt
atax,SMALL,10,ALL_BRAM,1.0,O0,none,kernel_atax,37,0.03639999699999841,100.3653297702541,36,146,0,646,5500,206,5706,20,0,atax_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_log.txt
atax,SMALL,10,ALL_BRAM,1.0,O2,none,kernel_atax,93,0.03639999699999841,100.3653297702541,91,282,5,1316,6275,443,6718,45,0,atax_SMALL_clk10_memALL_BRAM_dsp1.0_optO2_log.txt
atax,SMALL,10,ALL_BRAM,1.0,O3,none,kernel_atax,103,0.03639999699999841,100.3653297702541,101,346,7,1671,6721,447,7168,60,0,atax_SMALL_clk10_memALL_BRAM_dsp1.0_optO3_log.txt
